net,length_um
_0657_,916
_0591_,795.8
_1312_,783.85
net85,719.49
_0635_,693.455
_0642_,669.285
_0627_,661.53
net242,653.51
_0574_,641.995
_0809_,641.065
_3037_,633.105
net86,626.675
net91,620.115
_0601_,609.605
_0618_,607.72
net84,605.58
net88,592.97
_1180_,590.32
net99,586.83
_0609_,585.02
net94,584.93
_0844_,567.735
net90,564.76
net89,561.82
clknet_3_7_0_i_clk,561.4
_1421_,561.25
net247,560.69
net92,552.185
clknet_3_6_0_i_clk,543.485
_1955_,536.765
_1612_,527.85
_1449_,527.42
_3345_,524.445
_1359_,522.845
net93,520.275
net252,509.745
_1420_,504.64
net234,504.33
_1313_,501.365
net235,500.045
_1410_,495.655
net251,495.16
_0561_,491.415
_1353_,490.025
_3007_,485.29
clknet_3_5_0_i_clk,484.265
_0583_,483.565
_3130_,482.75
_1509_,479.96
net96,479.39
net41,476.47
net75,472.885
_3143_,472.665
net240,471.485
_3136_,468.74
_0648_,466.795
_1630_,465.94
net100,465.645
_0553_,463.94
_1110_,462.28
_1182_,461.155
_3113_,459.595
_1105_,456.095
net104,449.86
_1317_,440.865
net244,439.725
_1355_,438.785
_1633_,434.55
_3120_,432.06
_0696_,431.87
_1402_,431.315
_3068_,430.735
_1500_,430.435
_1197_,429.295
i_clk,427.285
_1490_,426.85
_1562_,423.27
_1626_,421.32
_3074_,413.005
_3098_,409.75
_3055_,409.35
_3089_,408.51
_1608_,406.29
execute.alu_mul_div.i_mul,405.3
_1555_,404.06
_3367_,403.335
clknet_3_1_0_i_clk,400.595
net223,399.105
_1395_,397.56
_1442_,396.975
_1323_,396.585
clknet_3_4_0_i_clk,396.25
net95,394.48
_3082_,390.48
_3105_,389.27
net128,389.255
_1718_,387.98
clknet_3_0_0_i_clk,386.465
_1563_,386.185
_1428_,385.955
_1356_,384.78
net195,382.925
_1460_,382.81
net255,382.395
_1609_,381.445
_1325_,380.275
_1517_,376.79
net145,374.845
net218,374.505
_1307_,370.505
_1925_,368.445
_0544_,367.49
_1443_,366.24
_3044_,364.235
_2296_,363.855
_1461_,362.92
_0174_,361.315
_1345_,360.68
_1644_,358.54
net1,358.12
_0523_,357.13
_1479_,355.74
_0666_,354.405
_1106_,354.36
_2117_,353.84
_3370_,353.6
_1435_,352.97
_3377_,351.405
_1480_,350.905
_1361_,350.455
_1339_,350.335
_1305_,350.215
_3151_,349.865
_1193_,349.475
_1218_,348.75
net112,347.21
_3523_,346.94
_3328_,346.51
_3361_,346.36
_1103_,345.66
_3095_,344.4
_3492_,344.275
_1578_,343.88
_3389_,342.895
_1543_,342.47
_2044_,342.33
_1403_,341.015
_3060_,340.835
clknet_3_3_0_i_clk,339.415
_3326_,339.255
_1126_,338.155
_3356_,337.07
execute.sreg_long_ptr_en,336.24
_3532_,334.355
_0740_,332.58
_1159_,332.135
_1989_,331.555
_1508_,330.42
net239,329.335
_3386_,328.77
_3380_,328.395
_1549_,328.015
decode.oc_alu_mode\[6\],327.88
_2752_,327.695
_3410_,327.15
net135,326.12
_1628_,324.26
_0838_,322.17
_1658_,322.04
_0859_,321.225
_3352_,321.15
_1379_,320.44
_1277_,319.085
net2,318.555
net144,317.86
net220,317.355
_1436_,315.795
_1627_,315.615
net221,314.52
_1471_,314.515
_1387_,314.425
_1468_,313.395
_0845_,312.98
_1383_,311.895
_3544_,311.3
_0536_,310.985
_1310_,308.19
_3348_,306.955
_0517_,306.73
_3477_,306.66
net219,306.63
_3383_,306.61
_1348_,306.605
_3374_,306.4
_3779_,305.87
net231,304.525
net222,304.045
_1311_,303.44
_3790_,303.39
_1515_,302.975
net141,301.25
_3415_,300.35
_0787_,300.265
_1401_,299.905
net237,299.895
_3518_,299.815
_3773_,299.44
_1332_,299.165
_0744_,298.22
_1808_,296.985
clknet_3_2_0_i_clk,296.885
_1315_,296.805
_1349_,296.79
_3553_,296.3
net225,295.815
_3499_,294.94
_3451_,293.845
_3794_,293.195
net3,293.08
_3522_,293.005
net241,292.065
_1651_,291.995
net238,291.58
_3465_,291.445
_1394_,291.07
_3783_,290.955
_1347_,290.49
_1181_,289.29
_1927_,289.14
net230,288.84
_3506_,287.9
_1818_,287.89
_0676_,286.635
_1389_,286.42
_1469_,285.93
_1621_,285.02
_0743_,284.805
_0837_,284.755
_2616_,284.615
execute.rf.reg_outputs\[7\]\[8\],283.02
_2193_,282.63
net14,282.305
_1941_,280.29
_0710_,279.945
net200,279.13
_0703_,278.315
_3372_,278.22
_1898_,277.905
_1966_,277.155
_3800_,276.9
_1185_,276.435
_0525_,275.855
_3478_,275.655
net233,274.895
_0856_,274.715
_1827_,274.52
_0514_,272.925
net8,272.745
decode.o_submit,272.72
_1899_,272.57
_3424_,271.62
_1616_,271.505
_1541_,270.965
_0756_,270.925
net11,270.855
_1622_,270.63
_1993_,270.595
net136,269.965
_3479_,269.925
_3340_,268.695
_3336_,268.33
net4,268.275
_1579_,267.915
_3480_,266.91
_1330_,266.675
_0702_,266.44
_0808_,266.115
net224,266.025
_0788_,265.4
decode.oc_alu_mode\[11\],264.535
net226,264.32
execute.o_reg_ie\[4\],263.845
net232,263.795
_1319_,263.61
_0510_,263.34
_1624_,263.27
net137,263.13
_3759_,262.945
net6,262.875
_0819_,262.8
_1406_,262.25
net10,262.225
_1580_,261.77
execute.sreg_irq_pc.o_d\[5\],261.52
_1497_,261.31
net119,261.295
_1335_,260.82
net229,260.665
_2512_,259.38
_0671_,259.34
_0713_,258.905
net227,258.705
_2682_,257.865
_1328_,257.33
net7,257.24
execute.alu_flag_reg.o_d\[1\],257.16
_2802_,256.68
_3763_,256.45
execute.o_reg_ie\[5\],255.405
_0706_,255.335
_0847_,255.205
_1327_,255.035
net228,252.76
_0512_,252.705
_3398_,252.475
_1377_,251.71
_0851_,251.46
_3436_,251.02
execute.rf.reg_outputs\[3\]\[6\],250.785
_3543_,250.52
_0914_,250.045
net13,249.1
_2993_,247.335
net15,247.22
_0705_,246.835
net102,246.815
net9,246.565
_2544_,246.165
execute.sreg_irq_pc.o_d\[4\],245.725
_3413_,245.71
_0529_,245.615
_0870_,244.395
_0753_,243.375
_0519_,242.35
net243,242.265
_1358_,241.935
_1322_,241.01
_1167_,240.875
execute.o_reg_ie\[3\],240.735
net120,240.55
_0528_,240.38
net103,239.625
_2866_,238.71
net76,238.255
_1321_,237.63
_2617_,236.425
_3330_,235.92
_3191_,235.825
_1535_,235.595
_0916_,235.58
_3439_,235.42
execute.rf.reg_outputs\[4\]\[3\],234.765
_3349_,234.735
_0747_,234.41
_0532_,233.85
net23,233.33
_1516_,232.58
_2315_,232.18
_3333_,232.01
_1340_,231.825
net101,231.55
_0670_,231.19
_1631_,230.68
execute.sreg_data_page,230.25
_3456_,229.91
net20,229.405
decode.oc_alu_mode\[9\],229.2
_1393_,229.125
net254,228.605
_2816_,228.525
_2418_,228.09
_2394_,227.8
_3521_,227.085
_2680_,226.825
execute.o_reg_ie\[1\],226.63
_1351_,226.49
_0746_,226.37
execute.rf.reg_outputs\[7\]\[9\],226.1
_3489_,226.08
_1649_,225.965
_0672_,225.785
_2842_,225.72
_3173_,225.57
decode.i_instr_l\[15\],225.495
_1828_,225.455
execute.rf.reg_outputs\[6\]\[3\],224.905
decode.oc_alu_mode\[4\],224.705
_2942_,224.19
_2882_,223.74
net217,223.23
_2977_,221.95
_0531_,221.74
_0760_,221.155
net18,221
_1133_,220.42
_3446_,220.41
_1861_,219.99
_1429_,219.74
_3425_,219.49
_0793_,219.295
execute.sreg_irq_pc.o_d\[2\],219.21
_2896_,219.17
_0904_,218.32
_3500_,218.255
_0767_,218.12
_3304_,217.8
_1135_,217.355
_1921_,217.085
execute.rf.reg_outputs\[1\]\[6\],216.71
_3353_,216.37
_1615_,216.09
execute.rf.reg_outputs\[1\]\[7\],215.965
_1656_,215.635
execute.rf.reg_outputs\[7\]\[10\],215.385
net19,215.18
_2957_,215.12
execute.sreg_irq_pc.o_d\[1\],213.825
_0770_,213.015
_0773_,212.82
_0764_,212.385
execute.alu_mul_div.mul_res\[11\],211.695
_1362_,211.46
_1341_,211.37
_1540_,211.065
_0518_,210.935
decode.i_flush,210.895
decode.oc_alu_carry_en,210.675
execute.rf.reg_outputs\[5\]\[15\],210.465
_1743_,209.97
net146,209.115
net142,208.93
execute.rf.reg_outputs\[6\]\[6\],208.425
execute.alu_mul_div.mul_res\[10\],207.62
_3360_,207.595
execute.o_reg_ie\[0\],207.03
execute.o_reg_ie\[7\],207.02
execute.sreg_irq_pc.o_d\[7\],206.905
_1334_,206.75
_1207_,206.555
net12,206.24
decode.oc_jump_cond_code\[1\],206.2
net138,205.705
_1380_,205.645
_1264_,205.635
decode.i_instr_l\[11\],205.42
decode.oc_jump_cond_code\[0\],204.92
_2918_,204.73
execute.alu_mul_div.mul_res\[8\],204.5
decode.i_instr_l\[10\],204.395
_3501_,203.985
_0906_,203.52
_3332_,203.475
_3393_,203.14
net139,203.095
_2776_,202.65
